TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2020,REGION1,SEHYDMPH2,1,1.8361677910690597
S01B1,2020,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2020,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2020,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2020,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2020,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2020,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2020,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2020,REGION1,SEWS00X00,1,1.7695516149864634
S01B1,2021,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2021,REGION1,DKCO00I00,1,2.0414478426935165
S01B1,2021,REGION1,DKCOCHPH3,1,0.8009742448683349
S01B1,2021,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2021,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2021,REGION1,FICO00I00,1,4.909735869212925
S01B1,2021,REGION1,FICOCHPH3,1,2.017793651709639
S01B1,2021,REGION1,FING00I00,1,1.2600351463474853
S01B1,2021,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2021,REGION1,FINGFCFH1,1,2.7647999723519935e-05
S01B1,2021,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2021,REGION1,FIUR00I00,1,19.1022352521776
S01B1,2021,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2021,REGION1,FIWSSTPH1,1,3.0299820443977943
S01B1,2021,REGION1,NOCO00I00,1,0.02690946635490527
S01B1,2021,REGION1,NOCOCHPH3,1,0.005529599944703987
S01B1,2021,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2021,REGION1,NOWSSTPH1,1,0.05131251127757249
S01B1,2021,REGION1,SEBM00X00,1,5.9209407038507225
S01B1,2021,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2021,REGION1,SENUG2PH3,1,11.155967888440294
S01B1,2021,REGION1,SEUR00I00,1,33.805929492340624
S01B1,2021,REGION1,SEWSCHPH2,1,0.5020683213793156
S01B1,2021,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2021,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2021,REGION1,DKCOSTPH1,1,0.03801599961983991
S01B1,2021,REGION1,DKEL00TD0,1,4.451311498412914
S01B1,2021,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2021,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2021,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2021,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2021,REGION1,DKWS00X00,1,1.1406032881677244
S01B1,2021,REGION1,FIEL00TD0,1,13.796722454761994
S01B1,2021,REGION1,FIGO00X00,1,0.008373603056365125
S01B1,2021,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2021,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2021,REGION1,FINGSTPH2,1,0.024330239756697545
S01B1,2021,REGION1,FINUG3PN3,1,2.3777279762227144
S01B1,2021,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2021,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2021,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2021,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2021,REGION1,FIWS00X00,1,9.064005410969136
