REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKWIONPH3,DKWI,1,2031,26.216592200450595
REGION1,DKWIONPH3,DKWI,1,2032,26.19448093348367
REGION1,DKWIONPH3,DKWI,1,2033,8.591865088277494
REGION1,DKWIONPH3,DKWI,1,2034,8.0046881099336
REGION1,DKWIONPH3,DKWI,1,2035,7.374107533469447
REGION1,DKWIONPH3,DKWI,1,2036,6.381966795305392
REGION1,DKWIONPH3,DKWI,1,2037,9.845617506024187
REGION1,DKWIONPH3,DKWI,1,2038,20.618653692435455
REGION1,DKWIONPH3,DKWI,1,2039,23.305153507673783
REGION1,DKWIONPH3,DKWI,1,2040,47.73575688205836
REGION1,DKWIONPH3,DKWI,1,2041,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2042,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2043,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2044,75.52444699339512
REGION1,DKWIONPH3,DKWI,1,2045,75.52444699339517
REGION1,DKWIONPH3,DKWI,1,2046,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2047,75.52444699339517
REGION1,DKWIONPH3,DKWI,1,2048,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2049,75.5244469933951
REGION1,DKWIONPH3,DKWI,1,2050,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2051,75.52444699339517
REGION1,DKWIONPH3,DKWI,1,2052,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2053,75.52444699339516
REGION1,DKWIONPH3,DKWI,1,2054,75.52444699339516
REGION1,DKWIONPH3,DKWI,1,2055,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2056,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2057,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2058,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2059,75.52444699339515
REGION1,DKWIONPH3,DKWI,1,2060,75.52444699339515
REGION1,DKWS00X00,DKPM25,1,2015,0.022008985094096246
REGION1,DKWS00X00,DKPM25,1,2016,0.024037690281466413
REGION1,DKWS00X00,DKPM25,1,2017,0.026066396822733394
REGION1,DKWS00X00,DKPM25,1,2018,0.02809510543573857
REGION1,DKWS00X00,DKPM25,1,2019,0.030123811258403785
REGION1,DKWS00X00,DKPM25,1,2020,0.032152514622880456
REGION1,DKWS00X00,DKPM25,1,2021,0.03189061904483642
REGION1,DKWS00X00,DKPM25,1,2022,0.031628724954431
REGION1,DKWS00X00,DKPM25,1,2023,0.03136679172551259
REGION1,DKWS00X00,DKPM25,1,2024,0.031104823585364393
REGION1,DKWS00X00,DKPM25,1,2025,0.030842928342772562
REGION1,DKWS00X00,DKPM25,1,2026,0.030401657651562435
REGION1,DKWS00X00,DKPM25,1,2027,0.02996038486786811
REGION1,DKWS00X00,DKPM25,1,2028,0.029519106934169922
REGION1,DKWS00X00,DKPM25,1,2029,0.0290777611496658
REGION1,DKWS00X00,DKPM25,1,2030,0.028636492555135437
REGION1,DKWS00X00,DKPM25,1,2031,0.028118352197005064
REGION1,DKWS00X00,DKPM25,1,2032,0.027600134376757162
REGION1,DKWS00X00,DKPM25,1,2033,0.02708198918237149
REGION1,DKWS00X00,DKPM25,1,2034,0.02656377599443819
REGION1,DKWS00X00,DKPM25,1,2035,0.026045637401516043
REGION1,DKWS00X00,DKPM25,1,2036,0.02582009217982279
REGION1,DKWS00X00,DKPM25,1,2037,0.025594624578150482
REGION1,DKWS00X00,DKPM25,1,2038,0.02536908782236007
REGION1,DKWS00X00,DKPM25,1,2039,0.02514361776404516
REGION1,DKWS00X00,DKPM25,1,2040,0.024918070753537854
REGION1,DKWS00X00,DKPM25,1,2041,0.024886331833160406
REGION1,DKWS00X00,DKPM25,1,2042,0.024854586924501203
REGION1,DKWS00X00,DKPM25,1,2043,0.024822846933070138
REGION1,DKWS00X00,DKPM25,1,2044,0.02479117602900219
REGION1,DKWS00X00,DKPM25,1,2045,0.024759436242057842
REGION1,DKWS00X00,DKPM25,1,2046,0.02448512653280171
REGION1,DKWS00X00,DKPM25,1,2047,0.024210811403556763
REGION1,DKWS00X00,DKPM25,1,2048,0.02393650893226344
REGION1,DKWS00X00,DKPM25,1,2049,0.023662199847051937
REGION1,DKWS00X00,DKPM25,1,2050,0.023387887934487428
REGION1,DKWS00X00,DKPM25,1,2051,0.023083844485486643
REGION1,DKWS00X00,DKPM25,1,2052,0.02278372989473855
REGION1,DKWS00X00,DKPM25,1,2053,0.022487574589743597
REGION1,DKWS00X00,DKPM25,1,2054,0.022195198917832344
REGION1,DKWS00X00,DKPM25,1,2055,0.021906679542761005
