VALUE
Norway (NO)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3
Norway (NO)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Norway (NO)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0
Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Natural gas (NG)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Norway (NO)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3
Norway (NO)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Norway (NO)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1
Norway (NO)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2
Norway (NO)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Norway (NO)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3
Norway (NO)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1
Norway (NO)| Oil (OI)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Oil (OI)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Norway (NO)| Oil (OI)| Refinery (RF)| Primary energy commodity (P)| Historic (H)| size 0
Norway (NO)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1
Norway (NO)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Uranium (UR)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2
Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3
Norway (NO)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3
Norway (NO)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3
Norway (NO)| Waste (WS)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Norway (NO)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2
Norway (NO)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Sweden (SE)| Biofuel (BF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Biofuel (BF)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Sweden (SE)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Sweden (SE)| Biomass (BM)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Biomass (BM)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Sweden (SE)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1
Sweden (SE)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Sweden (SE)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Coal (CO)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Coal (CO)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Sweden (SE)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Sweden (SE)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Sweden (SE)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Electricity (EL)| unspecified (00)| Unknown energy level (T)| Unknown age (D)| size 0
Sweden (SE)| Geothermal (GO)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Sweden (SE)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Heavy fuel oil (HF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3
Sweden (SE)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
