REGION,TECHNOLOGY,VALUE
REGION1,Sweden (SE)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Sweden (SE)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Sweden (SE)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Sweden (SE)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Sweden (SE)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Sweden (SE)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
