REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2042,94.78754951
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2043,94.46252986
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2044,94.1375102
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2045,93.81249055
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2046,93.4874709
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2047,93.16245125
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2048,92.83743159
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2049,92.51241194
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2050,92.18739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2051,91.68739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2052,91.18739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2053,90.68739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2054,90.18739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2055,89.68739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2056,89.18739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2057,88.68739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2058,88.18739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2059,87.68739229
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2060,87.18739229
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2015,133.4
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2016,132.1496901
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2017,130.8993802
