REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2029,3163.461073
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2030,3154.882842
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2031,3147.257748
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2032,3139.632653
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2033,3132.007559
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2034,3124.382464
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2035,3116.75737
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2036,3109.132275
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2037,3101.507181
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2038,3093.882086
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2039,3086.256992
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2040,3078.631897
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2041,3068.147392
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2042,3057.662887
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2043,3047.178382
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2044,3036.693878
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2045,3026.209373
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2046,3015.724868
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2047,3005.240363
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2048,2994.755858
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2049,2984.271353
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2050,2973.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2051,2963.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2052,2953.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2053,2943.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2054,2933.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2055,2923.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2056,2913.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2057,2903.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2058,2893.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2059,2883.786848
REGION1,Denmark (DK)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,2060,2873.786848
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2015,5800.0
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2016,5745.6387
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2017,5691.2774
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2018,5636.9161
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2019,5582.5548
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2020,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2021,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2022,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2023,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2024,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2025,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2026,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2027,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2028,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2029,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2030,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2031,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2032,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2033,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2034,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2035,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2036,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2037,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2038,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2039,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2040,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2041,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2042,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2043,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2044,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2045,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2046,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2047,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2048,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2049,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2050,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2051,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2052,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2053,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2054,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2055,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2056,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2057,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2058,5528.1935
REGION1,Denmark (DK)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,2059,5528.1935
