REGION,TECHNOLOGY,VALUE
REGION1,GRWS00X00,863.9099865230095
REGION1,GRWSSTPH1,269.36781457223225
REGION1,HRBM00I00,87.40995030654861
REGION1,HRBM00X00,1116.156737224187
REGION1,HRBMCSPN2,322.88781912561103
REGION1,HRBMSTPH3,119.96744961583248
REGION1,HRCO00I00,209.13765615661504
REGION1,HRCOSTPH3,98.39231665377245
REGION1,HREL00TD0,4002.0973416823376
REGION1,HRELHUPH1,825.1066027893424
REGION1,HRELSIPH1,118.74802061966426
REGION1,HRGO00X00,17.278376273340765
REGION1,HRGOCVPH2,3.8346901192412886
REGION1,HRHYDMPH0,364.4030780351717
REGION1,HRHYDMPH1,17.879975624711214
REGION1,HRHYDMPH2,322.64252458342105
REGION1,HRHYDMPH3,220.54932742087902
REGION1,HRHYDSPH2,0.33095147959945426
REGION1,HRHYDSPH3,80.12510044176561
REGION1,HRNG00I00,79.32280388715017
REGION1,HRNG00X00,1368.2504589751684
REGION1,HRNGCCPH2,897.1459976198352
REGION1,HRNGCHPH3,0.9482982349458176
REGION1,HRSODIFH1,0.0028479150555450927
REGION1,HRSOUTPH2,688.822450721064
REGION1,HRWIONPH3,45.843076494038115
REGION1,HRWS00X00,576.443706694015
REGION1,HRWSSTPH1,174.69318889744352
REGION1,HUBM00X00,2987.4631921055493
REGION1,HUBMCSPN2,642.8281089189788
REGION1,HUBMSTPH3,447.43593227904347
REGION1,HUCO00X00,370.88260132681614
REGION1,HUCOCHPH3,62.48224738655306
REGION1,HUCOSTPH1,86.09622352634446
REGION1,HUEL00TD0,9240.463371773658
REGION1,HUELROPH1,630.3993241883479
REGION1,HUELSKPH1,1181.7796750283192
REGION1,HUGO00X00,2068.5426464823377
REGION1,HUGOCVPH2,496.6610642663638
REGION1,HUHYDMPH1,24.889246975028897
REGION1,HUHYDMPH3,70.72831200558488
REGION1,HUNG00I00,177.56332611160488
REGION1,HUNG00X00,458.92019415812695
REGION1,HUNGCCPH2,384.9892900141669
REGION1,HUNUG2PH3,1135.2959693464204
REGION1,HUNUG3PN3,1616.1790482451513
REGION1,HUSODIFH1,0.004332609693667913
REGION1,HUSOUTPH2,422.1271665994673
REGION1,HUUR00I00,8337.79474580774
REGION1,HUWIONPH3,5560.1788254751245
REGION1,HUWS00X00,1459.4107743162674
REGION1,HUWSCHPH2,5.783849015363948
REGION1,HUWSSTPH1,440.2924975474007
REGION1,IEBM00X00,1189.94087880608
REGION1,IEBMCSPN2,377.9480179262033
REGION1,IEBMSTPH3,61.205688593762524
REGION1,IECO00I00,419.2470121631817
REGION1,IECO00X00,93.07258403068245
REGION1,IECOSTPH3,239.60935829257588
REGION1,IEEL00TD0,6604.692793378106
REGION1,IEELUKPH1,1048.6134092228576
REGION1,IEGO00X00,10.746969683150871
REGION1,IEGOCVPH2,2.653713753983467
REGION1,IEHYDMPH1,12.99168927600881
REGION1,IEHYDMPH2,17.830263678306434
REGION1,IEHYDSPH2,69.31912387028434
REGION1,IENG00I00,660.7427967856294
REGION1,IENG00X00,186.4120470679742
REGION1,IENGCCPH2,501.22991158572705
REGION1,IENGGCPN2,6.425568138199405
REGION1,IESOUTPH2,345.71103604993107
REGION1,IEWIOFPH3,3.461737911355383
REGION1,IEWIONPH3,385.2592480703348
REGION1,IEWIONPN3,5218.067706855559
REGION1,IEWS00X00,536.9525485972911
REGION1,IEWSSTPH1,186.3420686498485
REGION1,ITBM00I00,3238.056152307137
REGION1,ITBM00X00,16405.583909126817
REGION1,ITBMCCPH1,2.781475198705191
REGION1,ITBMCHPH3,1.1255015280758442
REGION1,ITBMCSPN2,5516.954911118111
REGION1,ITBMSTPH3,1733.2315504520352
REGION1,ITCO00I00,3098.162539720627
REGION1,ITCO00X00,6.9082138240101525
REGION1,ITCOCHPH3,94.54764344015797
REGION1,ITCOSTPH3,1341.3740850651059
REGION1,ITEL00TD0,76078.07538465051
REGION1,ITELMTPH1,81.38386499194041
REGION1,ITELSIPH1,476.1004897691148
REGION1,ITGO00X00,779.7912934710362
REGION1,ITGOCVPH2,189.45754138181414
REGION1,ITHYDMPH0,4098.385799855151
REGION1,ITHYDMPH1,605.5908429211447
REGION1,ITHYDMPH2,1749.983662178718
REGION1,ITHYDMPH3,574.1706043776068
REGION1,ITHYDSPH2,55.862448651648194
REGION1,ITHYDSPH3,333.23042054589934
REGION1,ITNG00I00,36269.23874951644
REGION1,ITNG00X00,5759.420262870568
REGION1,ITNGCCPH2,25979.102085009752
REGION1,ITNGCHPH3,0.17717833064558394
REGION1,ITSODIFH1,583.6801393290822
REGION1,ITSOUTPH2,15538.728984258534
REGION1,ITWIONPH3,975.8102425971746
REGION1,ITWIONPN3,11025.38196111305
REGION1,ITWS00X00,7602.9300205195605
REGION1,ITWSCHPH2,108.28398095317283
REGION1,ITWSSTPH1,2398.1813033827148
REGION1,LTBM00X00,946.6564597716517
REGION1,LTBMCHPH3,0.15471558913401054
REGION1,LTBMCSPN2,354.81581170671853
REGION1,LTEL00TD0,2363.893936991852
REGION1,LTELLVPH1,489.50692609550316
REGION1,LTELPLPH1,626.4455625931874
REGION1,LTELSEPH1,485.2047385323294
REGION1,LTGO00X00,447.11014514473914
REGION1,LTGOCVPH2,110.48863368496184
REGION1,LTHYDMPH1,4.830436310148199
REGION1,LTHYDMPH2,1.7478530216766461
REGION1,LTHYDSPH3,79.92138012291625
REGION1,LTNG00I00,176.76688489605925
