REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKHYDMPH0,1,DKE1,2015,0.126553968
REGION1,S01B1,DKHYDMPH0,1,DKE1,2017,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2018,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2019,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2020,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2021,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2022,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2023,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2024,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2025,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2026,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2027,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2028,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2029,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2030,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2031,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2032,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2033,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2034,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2035,0.01655938385295972
REGION1,S01B1,DKHYDMPH0,1,DKE1,2036,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2037,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2038,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2039,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2040,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2041,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2042,0.012226302251970566
REGION1,S01B1,DKHYDMPH0,1,DKE1,2043,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2044,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2045,0.012226302251970566
REGION1,S01B1,DKHYDMPH0,1,DKE1,2046,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2047,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2048,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2049,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2050,0.01655938385295972
REGION1,S01B1,DKHYDMPH0,1,DKE1,2051,0.01655938385295972
REGION1,S01B1,DKHYDMPH0,1,DKE1,2052,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2053,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2054,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2055,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2056,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2057,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2058,0.022485168
REGION1,S01B1,DKHYDMPH0,1,DKE1,2059,0.02144448
REGION1,S01B1,DKHYDMPH0,1,DKE1,2060,0.02144448
REGION1,S01B1,DKHYDMPH3,1,DKE1,2018,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2019,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2020,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2021,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2022,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2023,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2024,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2025,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2026,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2027,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2028,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2029,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2030,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2031,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2032,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2033,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2034,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2035,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2036,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2037,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2038,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2039,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2040,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2041,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2042,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2043,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2044,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2045,0.032161407046477145
REGION1,S01B1,DKHYDMPH3,1,DKE1,2046,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2047,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2048,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2049,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2050,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2051,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2052,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2053,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2054,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2055,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2056,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2057,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2058,0.059147453224502246
REGION1,S01B1,DKHYDMPH3,1,DKE1,2059,0.0601881412245022
REGION1,S01B1,DKHYDMPH3,1,DKE1,2060,0.0601881412245022
REGION1,S01B1,DKNG00X00,1,DKNG,2015,4.3237704514176
REGION1,S01B1,DKNG00X00,1,DKNG,2016,4.3132749552576
REGION1,S01B1,DKNG00X00,1,DKNG,2017,17.71828768782087
REGION1,S01B1,DKNG00X00,1,DKNG,2018,4.2923022159744
REGION1,S01B1,DKNG00X00,1,DKNG,2019,8.834810036152204
REGION1,S01B1,DKNG00X00,1,DKNG,2020,1.5210894421728
REGION1,S01B1,DKNG00X00,1,DKNG,2023,1.191977734176
REGION1,S01B1,DKNG00X00,1,DKNG,2024,1.188092435904
REGION1,S01B1,DKNG00X00,1,DKNG,2025,1.1842071376320005
REGION1,S01B1,DKNGCCPH2,1,DKE1,2015,0.91265184
REGION1,S01B1,DKNGCCPH2,1,DKE1,2016,0.91265184
REGION1,S01B1,DKNGCCPH2,1,DKE1,2017,0.91265184
REGION1,S01B1,DKNGCCPH2,1,DKE1,2018,0.91265184
