TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2020,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2020,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2020,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2020,REGION1,FIELEEEH1,1,1.4185635698143608
S01B1,2020,REGION1,DKCOSTPH1,1,0.22740479772595146
S01B1,2020,REGION1,DKEL00TD0,1,4.349411663324737
S01B1,2020,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2020,REGION1,DKHYDMPH3,1,0.0025927650469272354
S01B1,2020,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2020,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2020,REGION1,DKWS00X00,1,1.150094119606896
S01B1,2020,REGION1,FICOSTPH3,1,3.493601245063979
S01B1,2020,REGION1,FIEL00TD0,1,13.530356939632934
S01B1,2020,REGION1,FIELSEPH1,2,0.7836466228248027
S01B1,2020,REGION1,FIHYDMPH1,1,0.13339281157594685
S01B1,2020,REGION1,FIHYDMPH2,1,0.9280026185292516
S01B1,2020,REGION1,FINUG3PN3,1,2.3777279762227144
S01B1,2020,REGION1,FISOUTPH2,1,3.096734945077366e-06
S01B1,2020,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2020,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2020,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2020,REGION1,FIWS00X00,1,0.24229944462723274
S01B1,2020,REGION1,NOEL00TD0,1,22.07417966970719
S01B1,2020,REGION1,NOHYDMPH1,1,1.6465588731313343
S01B1,2020,REGION1,NOHYDMPH2,1,11.069398565489044
S01B1,2020,REGION1,NOHYDMPH3,1,5.663727338755855
S01B1,2020,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2020,REGION1,NOHYDSPH3,1,0.5634057490041253
S01B1,2020,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2020,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2020,REGION1,NOWIONPN3,1,2.001695826383037
S01B1,2020,REGION1,NOWS00X00,1,0.32314569361628814
S01B1,2020,REGION1,SEBMSTPH3,1,1.3845788076150192
S01B1,2020,REGION1,SEEL00TD0,1,22.26159523037067
S01B1,2020,REGION1,SEHYDMPH1,1,0.4544486590214389
S01B1,2020,REGION1,SEHYDMPH2,1,4.54780687300591
S01B1,2020,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2020,REGION1,SEHYDSPH2,1,0.1285631987143677
S01B1,2020,REGION1,SEHYDSPH3,1,0.4631039953689589
S01B1,2020,REGION1,SEOCWVPH1,1,0.013823999861759965
S01B1,2020,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2020,REGION1,SESOUTPH2,1,1.0728397089360228e-07
S01B1,2020,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2020,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2020,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2020,REGION1,SEWS00X00,1,1.7695516149864634
S01B1,2020,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2020,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2020,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2020,REGION1,DKHGSRPN2,1,0.12026913850763614
S01B1,2020,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2020,REGION1,SEHGTDP00,1,0.6105295461826321
